TITLE,日行情表(電腦議價點選成交),,,,,,,,,,,,,,,,
DATADATE,日期:112年12月07日,,,,,,,,,,,,,,,,
ALIGN,C,L,R,R,R,R,R,R,R,R,R,R,R,R,R,C,C
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
HEADER,證券代號,證券名稱,最後最佳報買價,最後最佳報賣價,日均價,前日均價,漲跌,漲跌幅,最高,最低,最後,成交量,成交金額,筆數,發行股數,上市櫃進度日期,上市櫃進度
BODY,1260,富味鄉              ,27.1,27.7,27.6,27.65,-0.05,-0.18,27.7,27.5,27.6,18015,497215,10,102098182,0, 
BODY,1269,乾杯                ,131.5,135,135,131.75,3.25,2.47,135,135,135,8,1080,2,21169911,0, 
BODY,1271,晨暉生技            ,88.3,89.3,88.65,89.23,-0.58,-0.65,90.3,87.7,89.2,147560,13080745,113,33974594,0, 
BODY,1293,利統                ,29.4,29.8,29.72,29.5,0.22,0.75,29.75,29.4,29.75,3393,100832,5,17094112,0, 
BODY,2938,床的世界            ,42,42.95,-      ,42.06,-        ,-        ,-      ,-      ,-      ,-             ,-             ,-             ,20140000,0, 
BODY,2941,米斯特              ,126.5,130,128.84,127.39,1.45,1.14,130,126.5,129.5,18281,2355246,12,13990000,20231123,B
BODY,2942,京站                ,43.55,44.1,43.58,44.03,-0.45,-1.02,44.2,43.55,44.15,2110,91957,4,60000000,0, 
BODY,2948,寶陞                ,89.3,90,89.6,88.57,1.03,1.16,89.9,89.2,89.3,23821,2134337,23,24810000,20231025,E
BODY,2949,欣新網              ,156.5,159.5,158.43,156.9,1.53,0.98,159.5,156.5,159.5,37894,6003570,48,22000000,20231025,E
BODY,3097,拍檔                ,26.7,28.1,26.9,27.01,-0.11,-0.41,26.9,26.9,26.9,2400,64560,4,75085605,0, 
BODY,3117,年程                ,5.8,5.94,-      ,5.85,-        ,-        ,-      ,-      ,-      ,-             ,-             ,-             ,22839547,0, 
BODY,6599,普達系統            ,25.55,26.3,-      ,26.3,-        ,-        ,-      ,-      ,-      ,-             ,-             ,-             ,21000000,0, 
BODY,6610,安成生技            ,15.25,15.4,15.53,15.37,0.16,1.04,15.7,15.2,15.4,319776,4967459,161,87794395,0, 
BODY,6617,共信-KY             ,197.5,202.5,202.55,207.16,-4.61,-2.23,209.5,200,202.5,105913,21453182,321,113336100,20231129,A
BODY,6618,永虹先進            ,22.2,22.4,23.05,22.01,1.04,4.73,23.7,22,22.4,1711135,39443739,665,84816000,0, 
BODY,6620,漢達                ,173,175,175.03,173.93,1.1,0.63,178,173,175,435285,76187397,371,141094000,0, 
BODY,6730,常廣                ,37.05,37.9,37.51,38.4,-0.89,-2.32,38.55,37,37.35,59479,2231147,35,32000768,0, 
BODY,6731,啟坤                ,25,25.5,25.23,25.17,0.06,0.24,25.5,24.95,25.3,42270,1066422,35,54554395,0, 
BODY,6734,安盛生              ,8.47,8.74,8.68,8.75,-0.07,-0.8,9.04,8.47,8.62,168321,1461654,102,49466733,0, 
BODY,6737,秀育                ,39.4,40.15,39.75,39.49,0.26,0.66,40.15,39.35,40.15,15000,596250,11,60050400,0, 
BODY,6738,鼎                ,44.75,45.15,44.98,45.06,-0.08,-0.18,45.4,44.7,45.2,16000,719600,9,28175000,0, 
BODY,6739,竹陞科技            ,54.6,57.2,-      ,56.27,-        ,-        ,-      ,-      ,-      ,-             ,-             ,-             ,20091250,0, 
BODY,6744,豐技生技            ,23,23.75,23.1,23.8,-0.7,-2.94,23.8,23.05,23.75,3210,74137,4,15400000,0, 
BODY,6748,亞果生醫            ,38.6,38.95,38.9,39.2,-0.3,-0.77,39.95,38.05,38.6,122203,4753482,69,51218198,0, 
BODY,6750,泰創工程            ,19.6,19.85,19.8,19.65,0.15,0.76,19.95,19.6,19.85,78106,1546864,38,33207000,0, 
BODY,6755,連鋐科技            ,30.5,31.35,30.54,31.53,-0.99,-3.14,31.45,30.5,30.5,13417,409789,18,37905766,0, 
BODY,6758,冠亞                ,38.85,40.75,-      ,40.75,-        ,-        ,-      ,-      ,-      ,-             ,-             ,-             ,13471040,0, 
BODY,6764,亞洲教育            ,31.85,32.95,32.3,33,-0.7,-2.12,33,31.85,32.95,17785,574390,17,38342480,0, 
BODY,合計,,,,,,,,,,,45307421,3133978395,27709,,,
GLOSS,次日異動資料：,,,,,,,,,,,,,,,,
GLOSS,【註】上市櫃進度代號：,,,,,,,,,,,,,,,,
GLOSS,Ａ：送件申請上櫃；Ｂ：上櫃審議會通過；Ｃ：櫃買中心董事會通過上櫃；Ｅ：櫃買中心同意上櫃契約；Ｆ：櫃買中心董事會決議退回上櫃審議會重新審議,,,,,,,,,,,,,,,,
GLOSS,ａ：送件申請上市；ｂ：上市審議會通過；ｃ：證交所董事會通過上市；　ｅ：證交所同意上市契約；　ｆ：證交所董事會決議退回上市審議會重新審議,,,,,,,,,,,,,,,,
GLOSS,ｋ：送件申請創新板上市；ｌ：創新板上市審議會通過；ｍ：證交所董事會通過創新板上市；ｎ：證交所同意創新板上市契約；ｏ：證交所董事會決議退回創新板上市審議會重新審議,,,,,,,,,,,,,,,,
